"Item Type";Checkouts;Renewals
"Audio Book";150;70
"Book Club Set";57;8
"Adult Book";5737;2231
"Children's Book";3914;2446
"Children's Book No Requests";1290;783
"Children's DVD";29;11
"Children's Magazine";25;6
"Adult DVD";472;183
"Interlibrary Loan";208;119
"Library of Things 3 Weeks ";3;0
"Library of Things 1 Week";157;74
"Library of Things 2 Weeks";64;42
"Library of Things 4 Weeks";3;0
"Adult Magazine";353;216
"Talking Book";5;0
"Young Adult Book";431;311
"Homebound Internal Collection";10;1
